,penalty,crossing_nets,overflow
0,1300.0,13,0
1,1800.0,5,0
2,2100.0,3,0
3,2200.0,1,0
4,2400.0,2,0
5,2500.0,1,0
6,2700.0,2,0
7,2900.0,2,0
8,3000.0,1,0
9,3000.0,0,0
10,3000.0,0,0
11,3000.0,0,0
12,3000.0,0,0
13,3000.0,0,0
14,3000.0,0,0
15,3000.0,0,0
16,3000.0,0,0
17,3000.0,0,0
18,3000.0,0,0
19,3000.0,0,0
