,avg_rews,std_rews,avg_actor_loss,avg_critic_loss,avg_policy_loss,avg_kl_divergence
82,-5290.22,1200.66,0.00212,0.94011,0.47217,0.00339
83,-5409.46,1413.76,0.00089,0.96192,0.48185,0.0141
84,-5326.78,1535.24,0.00263,0.93546,0.47036,0.01162
85,-5382.83,1392.34,-0.00822,0.93799,0.46077,0.01456
86,-5646.02,1517.91,-0.00669,0.9866,0.48661,0.00282
87,-5495.07,1483.75,-0.00446,0.96691,0.479,0.0019
88,-5365.04,1574.78,-0.00228,0.9317,0.46357,0.00071
89,-5338.47,1463.3,2e-05,0.94051,0.47028,0.00412
90,-5601.02,1474.22,-0.00463,1.00897,0.49985,0.00288
91,-5495.02,1455.65,0.00125,0.95062,0.47656,0.00285
92,-5200.27,1273.55,0.00109,0.95539,0.47879,0.01187
93,-5241.17,1466.93,0.00514,0.93298,0.47163,0.01363
94,-5371.29,1417.5,0.00258,0.96936,0.48726,0.00284
95,-5387.12,1428.58,0.00063,1.02458,0.51291,0.00953
96,-5431.74,1298.26,0.01415,0.95559,0.49194,0.02124
97,-5510.9,1373.61,0.0138,0.96218,0.49489,0.01805
98,-5306.46,1307.23,0.00144,0.94153,0.4722,0.0126
99,-5260.62,1314.67,-0.00194,0.95203,0.47407,0.01736
100,-5237.29,1443.43,0.00592,0.93399,0.47291,0.00848
101,-5536.81,1544.07,0.00762,0.94333,0.47928,0.01833
102,-5202.56,1449.54,0.00542,1.02949,0.52016,0.01745
103,-5546.74,1780.96,0.01779,0.97241,0.504,0.01608
104,-5466.11,1566.8,0.00012,0.98693,0.49359,0.01671
105,-5486.07,1334.48,-0.00137,0.93251,0.46489,0.00576
106,-5306.15,1243.88,0.0069,1.02253,0.51817,0.00559
107,-5542.19,1512.65,-0.00391,0.97229,0.48223,0.00309
108,-5476.38,1492.36,0.00306,0.94569,0.4759,0.00307
109,-5510.28,1664.24,-0.00519,0.9322,0.46091,0.00173
110,-5703.26,1533.16,-0.00561,0.9418,0.46529,0.00321
111,-5372.03,1407.09,-0.00294,0.98679,0.49045,0.00094
112,-5482.49,1581.22,-0.00313,0.9309,0.46232,0.00129
113,-5581.97,1480.65,-0.00418,0.94373,0.46768,0.00722
114,-5582.66,1486.18,0.0113,0.95122,0.48691,0.007
115,-5082.57,1188.78,-0.00401,0.98133,0.48666,0.01038
116,-5372.5,1283.09,0.00839,1.0301,0.52344,0.01846
117,-5170.73,1437.51,0.00813,0.97081,0.49353,0.00958
118,-5476.74,1544.27,0.00483,0.9844,0.49703,0.01096
119,-5434.86,1245.26,-0.00214,1.00158,0.49865,0.00394
120,-5783.27,1653.47,-0.0044,0.96954,0.48037,0.00539
121,-5233.35,1327.89,-0.00529,0.96973,0.47958,0.00093
122,-5529.37,1683.15,-0.0001,0.91087,0.45533,0.00258
123,-5497.66,1392.49,-0.00038,0.94969,0.47447,0.00742
124,-5227.62,1336.96,-0.00368,0.96925,0.48095,0.00754
125,-5636.6,1554.59,0.02197,0.96429,0.50411,0.02144
126,-5436.18,1427.42,-0.00091,0.94388,0.47103,0.00434
127,-5121.81,1364.43,-0.00272,0.94592,0.47023,0.00221
128,-5344.85,1405.35,0.00189,0.96198,0.48288,0.00466
129,-5581.83,1496.76,0.00997,1.00729,0.51361,0.01432
130,-5463.52,1529.94,0.03718,0.96509,0.51972,0.02977
131,-5340.53,1561.04,-0.01506,0.93348,0.45168,0.01236
132,-5410.32,1479.73,-0.00432,0.97453,0.48295,0.01374
133,-5587.04,1541.95,0.02315,0.90725,0.47678,0.038
134,-5343.83,1468.21,-0.00049,0.94825,0.47364,0.00873
135,-5169.75,1328.2,-0.00391,0.93851,0.46534,0.0013
136,-5640.66,1425.47,-0.01208,0.96042,0.46813,0.00662
137,-5463.06,1557.25,-0.00754,0.93354,0.45923,0.00372
138,-5214.48,1294.85,0.00266,0.89877,0.45205,0.00545
139,-5641.5,1482.45,-0.00637,0.93242,0.45984,0.00216
140,-5253.33,1235.91,0.00878,0.95749,0.48753,0.00704
141,-5288.74,1641.38,-0.00183,0.90733,0.45183,0.00154
142,-5388.71,1540.12,0.00372,0.9425,0.47497,0.00212
143,-5186.43,1315.7,-0.00501,0.97782,0.4839,0.00232
144,-5278.15,1418.93,0.01537,0.96452,0.49763,0.0216
145,-5405.74,1508.34,0.0544,0.99256,0.55067,0.02901
146,-5402.75,1351.45,0.00492,0.9727,0.49127,0.00471
147,-5487.52,1708.73,0.01123,0.91893,0.4707,0.00375
148,-5403.55,1487.18,0.00463,0.9536,0.48143,0.00561
149,-5330.18,1366.91,-0.01112,0.9708,0.47429,0.00682
150,-5420.62,1572.18,0.00059,0.99414,0.49766,0.03563
151,-5332.93,1410.65,0.02061,0.93428,0.48774,0.05449
152,-5488.43,1515.32,0.0043,0.92092,0.46475,0.00703
153,-5397.1,1519.39,-0.0042,0.90913,0.45037,0.00226
154,-5329.29,1420.26,0.00167,0.99953,0.50143,0.00203
155,-5352.52,1321.51,0.00316,0.97008,0.48819,0.00264
156,-5568.27,1515.8,-0.00686,0.99704,0.49166,0.00576
157,-5630.29,1523.72,0.00038,0.9744,0.48758,0.00343
158,-5376.75,1418.2,-0.00127,0.9465,0.47198,0.00645
159,-5369.45,1458.2,0.01371,0.99443,0.51092,0.02102
160,-5299.2,1563.1,0.00534,0.9437,0.47719,0.01154
161,-5333.76,1465.36,-0.00169,0.93132,0.46397,0.00619
162,-5457.15,1568.82,-0.00081,0.93272,0.46555,0.0067
163,-5548.68,1485.75,-0.0036,0.97161,0.48221,0.00105
164,-5445.34,1531.08,-0.00779,0.98301,0.48372,0.00734
165,-5324.99,1444.95,0.00125,0.96288,0.48269,0.00433
166,-5447.88,1510.42,0.00144,0.9299,0.46639,0.00255
167,-5325.74,1209.7,0.00482,0.9549,0.48228,0.01218
168,-5704.53,1493.01,-0.00622,0.96746,0.47751,0.0013
169,-5234.16,1500.59,-0.00688,0.93605,0.46114,0.00259
170,-5521.21,1507.26,-0.00937,0.96953,0.4754,0.00769
171,-5525.21,1551.31,-0.00072,0.93344,0.466,0.0021
172,-5357.96,1483.59,0.01351,0.93515,0.48109,0.00854
173,-5272.66,1291.95,-0.00977,0.96485,0.47266,0.00325
174,-5507.56,1563.05,0.00024,0.92979,0.46514,0.00697
175,-5446.29,1401.36,-0.00611,0.94221,0.465,0.00865
176,-5227.21,1394.18,-0.00396,0.90157,0.44682,0.00469
177,-5415.86,1409.19,-0.00802,1.02488,0.50442,0.00566
178,-5473.9,1343.74,-0.00599,0.97705,0.48253,0.00473
179,-5341.85,1473.16,-0.00304,0.88854,0.44123,0.00359
180,-5432.1,1510.95,-0.00425,0.92594,0.45872,0.00623
181,-5343.62,1604.81,0.00077,0.96389,0.48272,0.01625
182,-5642.7,1458.4,-0.00171,0.96196,0.47926,0.00578
183,-5514.86,1291.56,-0.00128,0.92768,0.46256,0.00193
