,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
48,16,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
49,16,1,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
50,16,2,XM5,-2906.75640753615,2725.0,33035.39168044717,"(331, 793, 90)","(331.0, 793.0, 90)"
51,17,0,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 432.5, 90)"
52,17,1,XM5,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 447.0, 90)"
53,17,2,XDL_XM3_XM4,-3169.1411976635272,2985.0,33907.98067695824,"(331, 793, 90)","(331.0, 793.0, 90)"
54,18,0,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 432.5, 90)"
55,18,1,XM5,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 447.0, 90)"
56,18,2,XDL_XM3_XM4,-3169.1411976635272,2985.0,33907.98067695824,"(331, 793, 90)","(331.0, 793.0, 90)"
57,19,0,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 432.5, 90)"
58,19,1,XM5,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 447.0, 90)"
59,19,2,XDL_XM3_XM4,-3169.1411976635272,2985.0,33907.98067695824,"(331, 793, 90)","(331.0, 793.0, 90)"
60,20,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
61,20,1,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
62,20,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
63,21,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
64,21,1,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
65,21,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
66,22,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
67,22,1,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
68,22,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
69,23,0,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
70,23,1,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
71,23,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
72,24,0,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 807.5, 90)"
73,24,1,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 447.0, 90)"
74,24,2,XM5,-2905.4051852605644,2725.0,32546.030868898575,"(331, 793, 90)","(331.0, 793.0, 90)"
75,25,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
76,25,1,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
77,25,2,XM5,-2906.75640753615,2725.0,33035.39168044717,"(331, 793, 90)","(331.0, 793.0, 90)"
78,26,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
79,26,1,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
80,26,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
81,27,0,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 807.5, 90)"
82,27,1,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 447.0, 90)"
83,27,2,XM5,-2905.4051852605644,2725.0,32546.030868898575,"(331, 793, 90)","(331.0, 793.0, 90)"
84,28,0,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
85,28,1,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
86,28,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
87,29,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
88,29,1,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
89,29,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
90,30,0,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 432.5, 90)"
91,30,1,XM5,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 447.0, 90)"
92,30,2,XDL_XM3_XM4,-3169.1411976635272,2985.0,33907.98067695824,"(331, 793, 90)","(331.0, 793.0, 90)"
