,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
243,81,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
244,81,1,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
245,81,2,XM5,-2906.75640753615,2725.0,33035.39168044717,"(331, 793, 90)","(331.0, 793.0, 90)"
246,82,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
247,82,1,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
248,82,2,XM5,-2906.75640753615,2725.0,33035.39168044717,"(331, 793, 90)","(331.0, 793.0, 90)"
249,83,0,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 447.0, 90)"
250,83,1,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
251,83,2,XDL_XM3_XM4,-3110.049699888884,2918.0,36883.087227410426,"(331, 793, 90)","(331.0, 793.0, 90)"
252,84,0,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 432.5, 90)"
253,84,1,XM5,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 447.0, 90)"
254,84,2,XDL_XM3_XM4,-3169.1411976635272,2985.0,33907.98067695824,"(331, 793, 90)","(331.0, 793.0, 90)"
255,85,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
256,85,1,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
257,85,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
258,86,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
259,86,1,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
260,86,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
261,87,0,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 807.5, 90)"
262,87,1,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 447.0, 90)"
263,87,2,XM5,-2905.4051852605644,2725.0,32546.030868898575,"(331, 793, 90)","(331.0, 793.0, 90)"
264,88,0,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
265,88,1,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
266,88,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
267,89,0,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 807.5, 90)"
268,89,1,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 447.0, 90)"
269,89,2,XM5,-2905.4051852605644,2725.0,32546.030868898575,"(331, 793, 90)","(331.0, 793.0, 90)"
270,90,0,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 447.0, 90)"
271,90,1,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
272,90,2,XDL_XM3_XM4,-3110.049699888884,2918.0,36883.087227410426,"(331, 793, 90)","(331.0, 793.0, 90)"
273,91,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
274,91,1,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
275,91,2,XM5,-2906.75640753615,2725.0,33035.39168044717,"(331, 793, 90)","(331.0, 793.0, 90)"
276,92,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
277,92,1,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
278,92,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
279,93,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
280,93,1,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
281,93,2,XDP_XM1_XM2,-2791.8093855721145,2658.0,17904.951667186815,"(331, 793, 90)","(331.0, 793.0, 90)"
282,94,0,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 807.5, 90)"
283,94,1,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 447.0, 90)"
284,94,2,XM5,-2905.4051852605644,2725.0,32546.030868898575,"(331, 793, 90)","(331.0, 793.0, 90)"
285,95,0,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 447.0, 90)"
286,95,1,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
287,95,2,XDL_XM3_XM4,-3110.049699888884,2918.0,36883.087227410426,"(331, 793, 90)","(331.0, 793.0, 90)"
288,96,0,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 447.0, 90)"
289,96,1,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
290,96,2,XDL_XM3_XM4,-3110.049699888884,2918.0,36883.087227410426,"(331, 793, 90)","(331.0, 793.0, 90)"
291,97,0,XM5,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 447.0, 90)"
292,97,1,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
293,97,2,XDL_XM3_XM4,-3110.049699888884,2918.0,36883.087227410426,"(331, 793, 90)","(331.0, 793.0, 90)"
294,98,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
295,98,1,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
296,98,2,XM5,-2906.75640753615,2725.0,33035.39168044717,"(331, 793, 90)","(331.0, 793.0, 90)"
297,99,0,XDL_XM3_XM4,0.0,0.0,0.0,"(331, 793, 90)","(331.0, 432.5, 90)"
298,99,1,XDP_XM1_XM2,0.0,0.0,0.0,"(331, 793, 90)","(610.0, 793.0, 90)"
299,99,2,XM5,-2906.75640753615,2725.0,33035.39168044717,"(331, 793, 90)","(331.0, 793.0, 90)"
